2025 March Salary,,,,,,,,Total No.,225 people,,,,,,,,,,,, - ,, - , - ,,,,, 46 ," 6,053,620 ",," 13,631,350 ",,,,,
No.,"	Employee ID",Company Name,"	Position",Name,"	Age",Resident Registration Number,"	Date of Joining",Contact Number,Work Days,"	Base Salary","	Qualification Allowance","	Position Allowance","	Duty Allowance","	Overtime Allowance","	Holiday Work Allowance",Night Shift Allowance,"	Bonus","	Adjustment Allowance",Transportation Allowance,Meal Allowance,"	Labor Day Allowance","	Paid Leave Allowance",Welfare Allowance,"	Other Allowances",Total Earnings,"	Health Insurance",Long-term Care Insurance,"	Employment Insurance",National Pension,"	Income Tax","	Local Income Tax","	Other Deductions","	Total Deductions","	Net Payment","	Remarks",,
201,547,SETEC,Manager,김동현,57,980522-1187863,2024년 3월 1일,010-8888-9999,31," 4,180,000 "," 428,300 ", - , - , - , - , - , - , - , - ," 100,000 ", - , - ,,," 4,708,300 "," 163,360 "," 21,150 "," 41,470 "," 207,360 "," 294,370 "," 29,430 ",," 757,140 "," 3,951,160 ",,,SETEC
202,548,SETEC,Staff,김수현,30,900511-1267153,2022년 5월 2일,010-8888-9991,28," 3,000,000 "," 300,000 ", - , - , - , - , - , - , - , - ," 100,000 ", - , - ,,," 4,708,300 "," 163,360 "," 21,150 "," 41,470 "," 207,360 "," 294,370 "," 29,430 ",," 757,140 "," 3,951,160 ",,,SETEC
202,549,SETEC,Staff,박민지,30,881122-2548786,2022년 5월 2일,010-8888-9990,29," 3,500,000 "," 350,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,SETEC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SETEC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SETEC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SETEC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SETEC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SETEC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SETEC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SETEC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SETEC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SETEC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SETEC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SETEC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SETEC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SETEC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SETEC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SETEC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SETEC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SETEC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SETEC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SETEC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SETEC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SETEC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SETEC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SETEC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SETEC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SETEC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SETEC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SETEC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SETEC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SETEC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SETEC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SETEC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SETEC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SETEC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SETEC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SETEC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SETEC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SETEC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SETEC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SETEC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SETEC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SETEC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SETEC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SETEC
247,,SETEC,,,,,,,, - , - , - , - , - , - , - , - , - , - , - , - , - ,,, - , - , - , - , - , - , - ,, - , - ,,,
